token_id,name,bio,current_price(eth),cumulative,shooting,finish,defense,vision,background,fur,mouth,eyes,clothes,head,head_accessory,jewellery
45,,,,176,45,56,50,25,Light Blue,Black,Regular,Angry,Trippy Tee,,,
46,,,,188,35,44,57,52,Dark Blue,Grey,Ooh,Closed,Navy Suit,Blonde Bun,,
47,,,,174,39,34,45,56,Pink,Red,Ooh,Angry Wink,Hawaii Shirt,RKL Cap Sideways,Blue Shades,
48,,,,207,57,73,49,28,Pink,Brown,Gold Smirk,Wide,RKL Tee,Horse Jockey Hat,,
49,,,,176,55,36,26,59,Brown,Green,Saber Toothed,Closed Scar,White Tee,Horse Jockey Hat,,
50,,,,171,46,35,35,55,Pink,Brown,Kiss,Sad,Navy Suit,RKL Cap Sideways,,
51,,,,174,52,28,66,28,Purple,Black,Shows Teeth,Bloodshot,Hawaii Shirt,RKL Cap Forward,,
52,,,,198,68,34,50,46,Light Grey,Pink,Saber Toothed,Wide Scar,White Tee,Blue Pigtails,,
53,,,,194,41,56,53,44,Yellow,Pink,Kiss,Wide Scar,Biker Jacket,Chopsticks Bun,,
54,,,,202,40,47,54,61,Gold,Brown,Regular,Bloodshot,Fusion Gi,Russian Cap,,
55,,,,92,20,13,38,21,Yellow,Hyper Cat,Diamond Teeth,Regular,Mamba Jersey,Gold Horns,,
56,,,,199,37,78,52,32,Light Grey,Red,Scream,Angry Wink,Shirt And Tie,RKL Cap Forward,,
57,,,,153,47,24,39,43,Dark Blue,White Noise,Regular,Regular,,,,
58,,,,173,33,62,43,35,Cyan,Brown,Regular,Bloodshot,,,,
59,,,,187,54,30,58,45,Yellow,Green,Regular,Closed,Shirt And Tie,,Red Shades,
60,,,,187,30,44,35,78,Grey,Red,Scream,Angry Wink,,Bowler,,
61,,,,186,44,48,54,40,Pink,Sky Blue,Drool,Closed,Striped Tee,,,
62,,,,150,38,37,27,48,Light Blue,Black,Shows Teeth,Closed,Shirt And Tie,RKL Cap Forward,,
63,,,,187,62,44,45,36,Grey,Crystal,Regular,Heterochromia,Mamba Jersey,Banana,,
64,,,,259,43,83,72,61,Red,Black,Kiss,Regular,Dego Tee Blooded,,,
65,,,,212,61,56,67,28,Brown,Brown,Scream,Regular,Dego Tee Blooded,,,
66,,,,221,66,49,78,28,Pink,Green,Regular,Regular,Dego Tee Blooded,Purple Bandana,,
67,,,,267,96,60,77,34,Cyan,Black,Shows Teeth,Bloodshot,Striped Tee,,Vibe Glasses,
68,,,,204,38,61,61,44,Cyan,Brown,Regular,Regular,Tracksuit,Red Bandana,,
69,,,,181,69,29,33,50,Brown,White Noise,Regular,Wide Scar,Shirt And Tie,Purple Bandana,Monocle,
70,,,,216,62,44,47,63,Light Blue,Brown,Shows Teeth,Angry,Navy Suit,,,
71,,,,176,46,33,49,48,Light Grey,Pink,Kiss,Wide,Biker Jacket,Blonde Bun,,
72,,,,182,37,64,43,38,Pink,Sky Blue,Shows Teeth,Closed Scar,Striped Tee,Horse Jockey Hat,,
73,,,,229,62,51,45,71,Purple,White Noise,Scream,Regular,,Red Bandana,Red Shades,
74,,,,212,69,58,54,31,Light Grey,Sky Blue,Shows Teeth,Sad,Cyan Jersey,Purple Bandana,Broken Glasses,
75,,,,219,58,53,53,55,Gold,Black,Missing Teeth,Bloodshot,Shaolin Vest,RKL Cap Sideways,,
76,,,,129,34,23,30,42,Light Grey,Grey,Kiss,Sad,Biker Jacket,,,
77,,,,238,73,68,67,30,Purple,Red,Ooh,Wide,,,,
78,,,,201,76,35,44,46,Light Blue,Pink,Kiss,Angry Scar,Cyan Jersey,,,
79,,,,181,54,33,57,37,Dark Blue,Red,Drool,Closed Scar,Shirt And Tie,,Red Shades,
80,,,,194,67,16,61,50,Purple,White Noise,Regular,Regular,RKL Tee,Cap Forward,Blue Shades,
81,,,,228,51,59,62,56,Red,Pink,Full Beard,Closed Scar,Tracksuit,Chopsticks Bun,,
82,,,,211,34,76,54,47,Gold,Green,Drool,Closed,Hawaii Shirt,Purple Bandana,Gem Earring,
83,,,,228,54,65,45,64,Yellow,Pink,Regular,Regular,Cyan Jersey,Winter Hat,Blue Shades,
84,,,,229,68,55,39,67,Dark Blue,Red,Shows Teeth,Angry,Fusion Gi,Tophat,Blue Shades,
85,,,,250,43,56,66,85,Grey,Brown,Scream,Closed,Hawaii Shirt,,,
86,,,,199,65,22,31,81,Light Grey,White Noise,Shows Teeth,Regular,Dego Tee Blooded,,,
87,,,,166,24,38,66,38,Dark Blue,Grey,Ooh,Regular,Trippy Tee,Green Beret,Red Shades,
88,,,,180,63,67,41,9,Grey,Sky Blue,Gold Smirk,Angry,Biker Jacket,Bowler,Blue Shades,
89,,,,130,28,38,42,22,Grey,Pink,Regular,Closed Scar,Dress,Beanie,,
90,,,,257,77,47,63,70,Grey,Pink,Scream,Regular,Tracksuit,Beanie,,
91,,,,257,94,83,39,41,Pink,White Noise,Regular,Regular,Striped Tee,,,
92,,,,224,55,63,34,72,Pink,Brown,Shows Teeth,Regular,White Tee,,,
93,,,,206,35,48,73,50,Red,Grey,Regular,Closed,Dego Tee Blooded,Winter Hat,Monocle,
94,,,,215,56,58,50,51,Yellow,Black,Regular,Bloodshot,Trippy Tee,Ski Glasses,,
95,,,,212,35,62,60,55,Light Grey,Brown,Ooh,Closed Scar,Biker Jacket,Beanie,Vibe Glasses,
96,,,,165,31,49,42,43,Pink,Brown,Scream,Closed Scar,White Tee,,,
97,,,,179,34,50,36,59,Purple,Grey,Ooh,Angry,Red Kimono,Ski Glasses,,
98,,,,237,50,67,72,48,Light Grey,Pink,Saber Toothed,Angry Scar,White Tee,,Gem Earring,
99,,,,214,68,52,44,50,Yellow,Red,Ooh,Closed,Cyan Jersey,,3D Glasses,
100,,,,225,71,59,42,53,Light Grey,Brown,Shows Teeth,Angry Wink,Cheetah Dego Tee,,,
101,,,,230,51,55,53,71,Light Grey,Grey,Regular,Angry Scar,,,Gem Earring,
102,,,,177,61,51,19,46,Red,Sky Blue,Saber Toothed,Wide Scar,Trippy Tee,Ski Glasses,,
103,,,,264,59,67,72,66,Purple,Red,Ooh,Closed Scar,Trippy Tee,,,
104,,,,211,54,60,38,59,Brown,Green,Shows Teeth,Angry Wink,Navy Suit,,,
105,,,,227,53,54,57,63,Purple,Black,Gold Smirk,Angry,Dress,Red Bandana,Red Shades,
106,,,,267,80,42,66,79,Red,Pink,Kiss,Angry,Trippy Tee,RKL Cap Forward,,
107,,,,148,37,28,46,37,Pink,Red,Ooh,Sad,,Winter Hat,,
108,,,,177,30,38,43,66,Purple,Pink,Regular,Angry Scar,Hawaii Shirt,RKL Cap Forward,,
109,,,,195,42,61,40,52,Light Blue,White Noise,Ooh,Regular,Shirt And Tie,Winter Hat,,
110,,,,185,47,41,44,53,Dark Blue,Sky Blue,Tongue Out,Wide Scar,Navy Suit,Tophat,,
111,,,,214,43,87,35,49,Brown,Pink,Gold Saber Toothed,Regular,Green Kimono,,,
112,,,,269,46,79,67,77,Yellow,Red,Regular,Bloodshot,Biker Jacket,,Blue Shades,
113,,,,161,54,30,43,34,Dark Blue,Pink,Ooh,Regular,Cheetah Dego Tee,Blonde Bun,,
114,,,,171,44,35,37,55,Purple,Green,Shows Teeth,Wide,Navy Suit,King Band,,
115,,,,197,54,24,49,70,Purple,Red,Drool,Angry Scar,Trippy Tee,King Band,,
116,,,,154,55,47,37,15,Grey,Black,Saber Toothed,Regular,White Tee,Horse Jockey Hat,,
117,,,,178,35,72,40,31,Dark Blue,Red,Scream,Regular,Green Kimono,,,
118,,,,221,69,56,63,33,Dark Blue,Red,Regular,Closed,White Tee,Purple Bandana,Blue Shades,
119,,,,200,71,25,44,60,Pink,Black,Drool,Angry Scar,Tracksuit,Beanie,,
120,,,,195,34,45,60,56,Light Blue,Red,Regular,Angry Wink,,Green Beret,,
121,,,,222,41,73,54,54,Cyan,White Noise,Saber Toothed,Closed,Fusion Gi,Blonde Bun,,
122,,,,236,40,62,91,43,Gold,Black,Scream,Regular,Dego Tee Blooded,Blue Pigtails,,
123,,,,227,47,65,60,55,Brown,Black,Missing Teeth,Bloodshot,Hawaii Shirt,,,
124,,,,182,65,50,46,21,Dark Blue,Pink,Ooh,Closed Scar,Tracksuit,Tophat,,
125,,,,247,68,58,73,48,Red,Brown,Tongue Out,Sad,Shaolin Vest,,,
126,,,,239,72,39,57,71,Light Grey,Brown,Regular,Wide Scar,Dego Tee Blooded,Beanie,,
127,,,,223,49,43,51,80,Grey,Black,Ooh,Bloodshot,Cheetah Dego Tee,Blonde Bun,,
128,,,,161,51,38,26,46,Brown,Red,Regular,Angry Wink,Navy Suit,,,
129,,,,194,37,58,48,51,Cyan,Black,Full Beard,Regular,Dego Tee Blooded,,,
130,,,,182,60,20,71,31,Cyan,Grey,Kiss,Closed,RKL Tee,,,
131,,,,240,63,42,57,78,Pink,Red,Shows Teeth,Sad,,,,
132,,,,264,50,67,57,90,Light Grey,Aurora,Diamond Teeth,Heterochromia,Space Suit,Halo,,
133,,,,256,71,77,51,57,Light Grey,Pink,Scream,Regular,Navy Suit,Bowler,Vibe Glasses,
134,,,,213,48,31,72,62,Cyan,White Noise,Shows Teeth,Closed Scar,Fusion Gi,Blonde Bun,,
135,,,,177,25,44,51,57,Grey,Black,Ooh,Closed Scar,Dego Tee Blooded,Purple Bandana,,
136,,,,178,42,48,37,51,Yellow,Grey,Shows Teeth,Regular,,Ski Glasses,,
137,,,,211,42,74,21,74,Red,Black,Ooh,Bloodshot,Navy Suit,,,
138,,,,223,61,50,48,64,Dark Blue,Red,Ooh,Regular,,,,
139,,,,218,76,44,59,39,Red,Red,Gold Smirk,Wide Scar,Trippy Tee,,,
140,,,,167,30,44,52,41,Light Grey,Grey,Regular,Sad,Cyan Jersey,,,
141,,,,178,51,26,46,55,Purple,Grey,Tongue Out,Bloodshot,Cheetah Dego Tee,RKL Cap Forward,,
142,,,,173,33,60,51,29,Red,White Noise,Regular,Angry Wink,Monk Robe,Russian Cap,,
143,,,,175,19,36,57,63,Purple,Red,Gold Smirk,Closed,,RKL Cap Sideways,,
144,,,,223,66,34,74,49,Grey,Pink,Shows Teeth,Angry,Hawaii Shirt,Purple Bandana,,
145,,,,182,37,29,50,66,Red,Hyper Cat,Scream,Bloodshot Blue,Fusion Vest,Gold Horns,,
146,,,,177,44,27,53,53,Light Blue,Green,Gold Smirk,Wide,Shaolin Vest,Beanie,,
147,,,,230,65,55,34,76,Light Grey,Black,Drool,Wide,Striped Tee,Beanie,,
148,,,,184,63,61,33,27,Purple,Grey,Kiss,Regular,Tracksuit,King Band,,
149,,,,194,33,76,34,51,Purple,Brown,Gold Scream,Wide Scar,RKL Tee,,,
150,,,,237,66,66,29,76,Light Grey,Grey,Tongue Out,Regular,Striped Tee,Red Bandana,,
151,,,,216,53,91,51,21,Gold,Green,Gold Saber Toothed,Wide,Cyan Jersey,,,
152,,,,192,48,45,55,44,Red,Grey,Regular,Closed,Hawaii Shirt,Horse Jockey Hat,,
153,,,,143,26,24,58,35,Light Blue,White Noise,Saber Toothed,Angry Scar,Biker Jacket,King Band,,
154,,,,238,53,67,38,80,Light Grey,Black,Regular,Angry Wink,Dego Tee Blooded,,,
155,,,,222,40,83,64,35,Light Grey,Brown,Saber Toothed,Bloodshot,Striped Tee,,3D Glasses,
156,,,,208,49,45,53,61,Light Blue,White Noise,Kiss,Bloodshot,,Green Beret,,
157,,,,240,64,63,70,43,Dark Blue,Pink,Regular,Angry,White Tee,Beanie,,
158,,,,227,49,46,58,74,Dark Blue,Grey,Kiss,Angry,Shaolin Vest,Russian Cap,,
159,,,,183,53,64,40,26,Red,Grey,Regular,Regular,Fusion Gi,Blonde Bun,,
160,,,,181,27,63,43,48,Light Blue,White Noise,Kiss,Closed,Hawaii Shirt,Bowler,,
161,,,,152,31,51,27,43,Light Blue,Red,Drool,Sad,,,,
162,,,,252,66,77,58,51,Gold,Black,Kiss,Wide Scar,Cheetah Dego Tee,Red Bandana,3D Glasses,
163,,,,239,57,59,55,68,Light Grey,Red,Missing Teeth,Angry Wink,Biker Jacket,,,
164,,,,186,34,53,37,62,Cyan,Sky Blue,Gold Smirk,Closed,,King Band,,
165,,,,192,36,61,60,35,Dark Blue,Brown,Tongue Out,Regular,Shaolin Vest,King Band,Blue Shades,
166,,,,139,43,35,38,23,Purple,White Noise,Regular,Regular,,Winter Hat,,
167,,,,151,54,42,31,24,Cyan,Black,Gold Saber Toothed,Sad,,RKL Cap Sideways,,
168,,,,181,53,26,50,52,Pink,Green,Ooh,Angry Wink,Biker Jacket,Beanie,Vibe Glasses,
169,,,,223,58,58,69,38,Grey,Black,Regular,Closed Scar,,,,
170,,,,192,48,44,34,66,Brown,Brown,Referee,Regular,Cheetah Dego Tee,,,
171,,,,160,44,66,38,12,Gold,Sky Blue,Cigar,Sad,Cyan Jersey,,,
172,,,,171,49,43,31,48,Pink,Brown,Regular,Angry Scar,Cheetah Dego Tee,Bowler,,
173,,,,169,58,50,33,28,Yellow,Red,Regular,Wide,Red Kimono,,,
174,,,,229,71,45,43,70,Yellow,Green,Cigar,Wide Scar,Dress,,,
175,,,,208,46,52,59,51,Light Blue,Red,Gold Scream,Regular,Shaolin Vest,RKL Cap Forward,Red Shades,
176,,,,182,47,69,32,34,Pink,Sky Blue,Full Beard,Closed,Biker Jacket,,,
177,,,,218,41,69,47,61,Brown,Red,Scream,Bloodshot,Shirt And Tie,RKL Cap Sideways,Broken Glasses,
178,,,,178,40,32,43,63,Yellow,Sky Blue,Referee,Angry,Biker Jacket,Blonde Bun,,
179,,,,148,46,24,59,19,Gold,Black,Cigar,Angry,,,Gold Stud,
180,,,,189,36,55,43,55,Grey,Brown,Referee,Regular,Dego Tee Blooded,King Band,,
181,,,,220,47,81,40,52,Red,Grey,Gold Smirk,Closed,Navy Suit,,Vibe Glasses,
182,,,,175,29,46,46,54,Brown,Pink,Scream,Bloodshot,Biker Jacket,Bowler,Blue Shades,
183,,,,149,35,25,41,48,Gold,Brown,Ooh,Angry Scar,,Chopsticks Bun,,
184,,,,183,54,31,66,32,Cyan,Grey,Regular,Bloodshot,Trippy Tee,Winter Hat,,
185,,,,249,50,77,67,55,Cyan,White Noise,Ooh,Closed,Striped Tee,Blonde Bun,,
186,,,,281,61,59,65,96,Light Grey,White Noise,Scream,Regular,Shirt And Tie,,,
187,,,,222,69,41,80,32,Purple,Black,Scream,Angry,White Tee,Ski Glasses,Gold Stud,
188,,,,206,50,56,78,22,Purple,White Noise,Scream,Sad,Trippy Tee,Green Beret,Broken Glasses,
189,,,,239,75,57,49,58,Brown,Pink,Regular,Angry Wink,Cheetah Dego Tee,,,
190,,,,206,50,59,50,47,Grey,Red,Ooh,Angry,Biker Jacket,Ski Glasses,,
191,,,,194,24,51,64,55,Purple,Sky Blue,Scream,Angry Wink,Yellow Suit,Blonde Bun,Gold Stud,
192,,,,129,28,40,18,43,Light Grey,Black,Regular,Bloodshot,Navy Suit,Blonde Bun,,
193,,,,129,14,30,43,42,Dark Blue,Brown,Drool,Closed,Dego Tee Blooded,Horse Jockey Hat,,
194,,,,212,56,63,38,55,Yellow,White Noise,Ooh,Sad,White Tee,,,
195,,,,186,42,43,48,53,Pink,Brown,Tongue Out,Sad,White Tee,Beanie,,
196,,,,202,71,34,53,44,Pink,Black,Gold Scream,Bloodshot,Cyan Jersey,,,
197,,,,212,71,46,25,70,Dark Blue,Black,Regular,Closed Scar,RKL Tee,,,
198,,,,185,59,33,68,25,Pink,Red,Ooh,Wide,,Winter Hat,,
199,,,,171,45,47,20,59,Red,Brown,Shows Teeth,Angry,Shirt And Tie,,,
200,,,,227,49,58,57,63,Red,Black,Gold Saber Toothed,Wide,Biker Jacket,Green Beret,,
201,,,,246,61,70,74,41,Light Blue,Brown,Kiss,Regular,Tracksuit,Russian Cap,,
202,,,,178,46,54,11,67,Purple,Sky Blue,Kiss,Regular,Shirt And Tie,Bowler,,
203,,,,222,67,53,43,59,Dark Blue,Sky Blue,Missing Teeth,Wide Scar,Cyan Jersey,Green Beret,,
204,,,,209,51,60,57,41,Brown,Grey,Ooh,Angry,,Beanie,Blue Shades,
205,,,,195,54,49,56,36,Grey,Pink,Kiss,Sad,Trippy Tee,Cap Forward,Blue Shades,
206,,,,196,42,50,47,57,Brown,Pink,Cigar,Angry Wink,Cyan Jersey,Blue Pigtails,Monocle,
207,,,,159,26,43,35,55,Gold,Brown,Scream,Closed Scar,,,,
208,,,,169,47,48,37,37,Red,Hyper Cat,Regular,Angry,Robo Arm,Gold Horns,,
209,,,,162,55,31,44,32,Purple,Green,Tongue Out,Closed Scar,Striped Tee,,,
210,,,,214,60,46,54,54,Brown,Grey,Scream,Wide Scar,Hawaii Shirt,RKL Cap Sideways,,
211,,,,231,63,34,65,69,Red,Pink,Ooh,Sad,RKL Tee,,,
212,,,,229,44,72,62,51,Dark Blue,Black,Regular,Angry,,,Blue Shades,
213,,,,159,27,53,57,22,Light Grey,Black,Drool,Wide,Trippy Tee,,Blue Shades,
214,,,,232,64,56,54,58,Gold,Pink,Shows Teeth,Sad,White Tee,,,
215,,,,193,34,24,47,88,Yellow,Sky Blue,Drool,Sad,Shaolin Vest,Blonde Bun,Broken Glasses,
216,,,,178,41,46,39,52,Dark Blue,White Noise,Gold Saber Toothed,Angry,Yellow Suit,,,
217,,,,173,49,20,42,62,Brown,Sky Blue,Ooh,Bloodshot,Cyan Jersey,,,
218,,,,220,51,41,71,57,Pink,Green,Regular,Regular,Shaolin Vest,,Vibe Glasses,
219,,,,188,63,45,35,45,Yellow,Aurora,Scream,Angry,Mamba Jersey,Crown,,
220,,,,163,28,55,35,45,Purple,White Noise,Scream,Angry,Red Kimono,Blonde Bun,,
221,,,,202,75,41,45,41,Purple,Black,Shows Teeth,Angry Wink,Tracksuit,Red Bandana,,
222,,,,225,53,75,35,62,Pink,Sky Blue,Regular,Wide,Tracksuit,,,
223,,,,264,84,60,57,63,Gold,Red,Missing Teeth,Regular,Navy Suit,Winter Hat,Blue Shades,
224,,,,134,55,24,26,29,Yellow,Black,Ooh,Closed,White Tee,Winter Hat,,
225,,,,196,55,42,54,45,Purple,Black,Gold Saber Toothed,Regular,Striped Tee,RKL Cap Forward,,
226,,,,166,33,49,46,38,Grey,Crystal,Shows Teeth,Bloodshot Blue,Fusion Vest,,Nose Ring,
227,,,,166,35,54,19,58,Dark Blue,Red,Regular,Regular,Shirt And Tie,Chopsticks Bun,Red Shades,
228,,,,190,40,55,55,40,Pink,Sky Blue,Scream,Sad,Cheetah Dego Tee,,Blue Shades,
229,,,,173,66,26,35,46,Cyan,Red,Kiss,Closed,,RKL Cap Sideways,,
230,,,,172,50,33,38,51,Light Blue,Brown,Kiss,Regular,Tracksuit,,,
231,,,,195,23,95,57,20,Yellow,White Noise,Regular,Regular,White Tee,Beanie,,
232,,,,196,71,36,56,33,Grey,Black,Ooh,Bloodshot,Red Kimono,,,
233,,,,231,44,43,59,85,Red,Brown,Scream,Angry,Cheetah Dego Tee,,,
234,,,,225,59,47,43,76,Red,White Noise,Ooh,Sad,Red Kimono,Cap Forward,,
235,,,,209,64,22,69,54,Gold,Black,Cigar,Angry Wink,Striped Tee,RKL Cap Forward,,
236,,,,216,22,39,85,70,Light Blue,Grey,Drool,Regular,Dress,,,
237,,,,222,58,65,63,36,Pink,Grey,Cigar,Angry Wink,Cheetah Dego Tee,Cap Forward,,
238,,,,180,45,16,55,64,Yellow,Red,Ooh,Sad,Striped Tee,,,
239,,,,199,75,25,56,43,Dark Blue,Green,Regular,Regular,Striped Tee,Russian Cap,,
240,,,,267,53,87,67,60,Light Blue,Pink,Regular,Wide Scar,Navy Suit,Bowler,,
241,,,,259,55,92,65,47,Pink,Green,Ooh,Angry Wink,White Tee,Chopsticks Bun,Vibe Glasses,
242,,,,170,42,46,42,40,Red,Brown,Regular,Sad,Hawaii Shirt,Cap Forward,,
243,,,,239,72,65,41,61,Red,White Noise,Regular,Wide,White Tee,,,
244,,,,129,26,14,23,66,Grey,Brown,Shows Teeth,Angry Scar,White Tee,Chopsticks Bun,,
245,,,,229,53,50,67,59,Brown,Green,Drool,Closed,Biker Jacket,,,
246,,,,191,18,30,88,55,Light Grey,Pink,Kiss,Regular,RKL Tee,,,
247,,,,223,26,62,72,63,Grey,Black,Ooh,Closed,Green Kimono,Ski Glasses,,
248,,,,187,43,17,57,70,Pink,Brown,Regular,Regular,White Tee,Winter Hat,,
249,,,,155,59,32,55,9,Dark Blue,Black,Saber Toothed,Bloodshot,Dego Tee Blooded,Beanie,,
250,,,,183,47,68,45,23,Pink,Green,Cigar,Wide Scar,White Tee,,,
251,,,,172,26,52,59,35,Yellow,Brown,Scream,Bloodshot,Cheetah Dego Tee,Winter Hat,,
252,,,,162,46,37,31,48,Purple,Red,Scream,Wide Scar,Yellow Suit,Beanie,,
253,,,,249,50,73,71,55,Light Blue,Grey,Ooh,Angry,Dress,King Band,Vibe Glasses,
254,,,,233,58,87,52,36,Grey,Black,Scream,Bloodshot,Hawaii Shirt,King Band,,
255,,,,166,52,7,73,34,Brown,Sky Blue,Cigar,Wide,Biker Jacket,Beanie,,
256,,,,195,58,43,46,48,Yellow,Zebra,Diamond Teeth,Heterochromia,,Mamba Band,,Gold Chain
257,,,,189,22,47,67,53,Brown,Black,Regular,Regular,Cheetah Dego Tee,Red Bandana,,
258,,,,251,100,53,23,75,Brown,Brown,Shows Teeth,Sad,Cyan Jersey,Blonde Bun,,
259,,,,178,76,43,25,34,Grey,Grey,Scream,Regular,,Blue Pigtails,,
260,,,,158,43,52,40,23,Light Grey,Black,Regular,Angry Wink,Dress,,,
261,,,,178,54,47,51,26,Gold,Grey,Scream,Angry,Cheetah Dego Tee,,,
262,,,,167,47,57,21,42,Cyan,Black,Saber Toothed,Wide Scar,Dego Tee Blooded,,,
263,,,,223,50,55,66,52,Purple,Brown,Kiss,Closed,Navy Suit,RKL Cap Sideways,,
264,,,,130,25,19,29,57,Cyan,Pink,Drool,Sad,Green Kimono,Bowler,,
265,,,,182,41,20,65,56,Brown,Sky Blue,Saber Toothed,Regular,,Blonde Bun,,
266,,,,199,66,54,42,37,Purple,Green,Kiss,Angry,Trippy Tee,,,
267,,,,205,59,62,41,43,Pink,Brown,Tongue Out,Wide,,Cap Forward,3D Glasses,
268,,,,150,35,8,52,55,Gold,Black,Regular,Angry Scar,White Tee,Winter Hat,,
269,,,,216,44,80,43,49,Brown,Sky Blue,Ooh,Closed,Hawaii Shirt,Red Bandana,Vibe Glasses,
270,,,,191,44,60,55,32,Cyan,Sky Blue,Gold Scream,Regular,Trippy Tee,Russian Cap,,
271,,,,194,37,45,39,73,Purple,Grey,Kiss,Regular,White Tee,Green Beret,Vibe Glasses,
272,,,,206,50,51,26,79,Red,Grey,Ooh,Closed,Tracksuit,Purple Bandana,,
273,,,,191,56,32,51,52,Gold,Green,Shows Teeth,Wide,White Tee,Winter Hat,3D Glasses,
274,,,,258,66,63,50,79,Light Blue,Pink,Gold Smirk,Regular,Fusion Gi,Beanie,,
275,,,,166,53,63,36,14,Brown,White Noise,Ooh,Wide Scar,White Tee,,Red Shades,
